Test,Flow,GFuzz,GFuzzHB,GFuzzHBFlow,GoCR,GoCRHB
Channel/Test_Buffered_Leak_SendBlocksOnFullBuffer,A07,A07,,,A07,A07
Channel/Test_Buffered_PossibleRecvOnClosed,,,,,,
Channel/Test_Unbuffered_Leak_SendWithoutPartner,A07,A07,A07,A07,,A07
Channel/Test_Unbuffered_PossibleSendOnClosed,,,,,,
Deadlock/Test_CyclicDeadlock_ABBA_TwoMutexes,A07;P05,A07,A07;P05,A07;P05,A07,L08;P05
Deadlock/Test_CyclicDeadlock_ChannelAndMutex,,,,L08,,
Deadlock/Test_CyclicDeadlock_RWMutex_WriterThenReader,L08,,L08,L08,,L08
Deadlock/Test_CyclicDeadlock_ThreeWayMutexCycle,A07;P05,A07,A07;P05,L08;P05,A07,L08;P05
MixedDeadlock/TestMixedDeadlock_DoubleCS_Recv,P06,,P06,P06,,P06
MixedDeadlock/TestMixedDeadlock_DoubleCS_Recv_2,P06,,P06,P06,,P06
MixedDeadlock/TestMixedDeadlock_DoubleCS_Send,P06,,P06,P06,,P06
MixedDeadlock/TestMixedDeadlock_DoubleCS_Send_2,P06,,P06,P06,,P06
MixedDeadlock/TestMixedDeadlock_DoubleCS_Send_Recv_1,P06,,P06,P06,,P06
MixedDeadlock/TestMixedDeadlock_DoubleCS_Send_Recv_2,P06,,P06,P06,,P06
MixedDeadlock/TestMixedDeadlock_GeneralCycle_3G_2Locks_2Chans,P05;P06,,P05;P06,P05;P06,,P05;P06
MixedDeadlock/TestMixedDeadlock_GeneralCycle_3G_2Locks_2Chans_WithSelectRecv,P05;P06,,P05;P06,P05;P06,,P05;P06
MixedDeadlock/TestMixedDeadlock_GeneralCycle_4G_2Locks_3Chans,P05;P06,,P05;P06,P05;P06,,P05;P06
MixedDeadlock/TestMixedDeadlock_MD2_1B,P06,,P06,P06,,P06
MixedDeadlock/TestMixedDeadlock_MD2_1_CloseB,P06,,P06,,,P06
MixedDeadlock/TestMixedDeadlock_MD2_1_CloseU,P06,,P06,P06,,P06
MixedDeadlock/TestMixedDeadlock_MD2_2U,P06,,P06,P06,,P06
MixedDeadlock/TestMixedDeadlock_MD2_3B,P06,,P06,P06,,P06
MixedDeadlock/TestMixedDeadlock_MD2_3U,P06,,P06,P06,,P06
