Test,Flow,GFuzz,GFuzzHB,GFuzzHBFlow,GoCR,GoCRHB
Channel/Test_Buffered_Leak_SendBlocksOnFullBuffer,1,1,0,0,1,1
Channel/Test_Buffered_PossibleRecvOnClosed,0,0,0,0,0,0
Channel/Test_Unbuffered_Leak_SendWithoutPartner,1,1,1,1,0,1
Channel/Test_Unbuffered_PossibleSendOnClosed,0,0,0,0,0,0
Deadlock/Test_CyclicDeadlock_ABBA_TwoMutexes,2,1,2,2,1,2
Deadlock/Test_CyclicDeadlock_ChannelAndMutex,1,1,1,0,2,2
Deadlock/Test_CyclicDeadlock_RWMutex_WriterThenReader,0,0,0,0,0,1
Deadlock/Test_CyclicDeadlock_ThreeWayMutexCycle,2,1,2,1,1,2
MixedDeadlock/TestMixedDeadlock_DoubleCS_Recv,1,0,1,1,0,1
MixedDeadlock/TestMixedDeadlock_DoubleCS_Recv_2,1,0,1,1,0,1
MixedDeadlock/TestMixedDeadlock_DoubleCS_Send,1,0,1,1,0,1
MixedDeadlock/TestMixedDeadlock_DoubleCS_Send_2,1,0,1,1,0,1
MixedDeadlock/TestMixedDeadlock_DoubleCS_Send_Recv_1,1,0,1,1,0,1
MixedDeadlock/TestMixedDeadlock_DoubleCS_Send_Recv_2,1,0,1,1,0,1
MixedDeadlock/TestMixedDeadlock_GeneralCycle_3G_2Locks_2Chans,5,0,5,5,0,5
MixedDeadlock/TestMixedDeadlock_GeneralCycle_3G_2Locks_2Chans_WithSelectRecv,5,0,5,5,0,5
MixedDeadlock/TestMixedDeadlock_GeneralCycle_4G_2Locks_3Chans,4,0,4,4,0,4
MixedDeadlock/TestMixedDeadlock_MD2_1B,1,0,1,1,0,1
MixedDeadlock/TestMixedDeadlock_MD2_1_CloseB,1,0,1,0,0,1
MixedDeadlock/TestMixedDeadlock_MD2_1_CloseU,1,0,1,1,0,1
MixedDeadlock/TestMixedDeadlock_MD2_2U,1,0,1,1,0,1
MixedDeadlock/TestMixedDeadlock_MD2_3B,1,0,1,1,0,1
MixedDeadlock/TestMixedDeadlock_MD2_3U,1,0,1,1,0,1
MixedDeadlock/TestMixedDeadlock_MD_2_1B_RW,1,0,1,1,0,1
MixedDeadlock/TestMixedDeadlock_MD_2_2U_RW,1,0,1,1,0,1
MixedDeadlock/TestMixedDeadlock_MD_2_3B_RW,1,0,1,1,0,1
MixedDeadlock/TestMixedDeadlock_MD_2_3CloseB,1,0,1,1,0,1
MixedDeadlock/TestMixedDeadlock_MD_2_3CloseU,1,0,1,1,0,1
MixedDeadlock/TestMixedDeadlock_MD_2_3U_RW,1,0,1,1,0,1
MixedDeadlock/TestMixedDeadlock_MultiDep_FirstOnly,2,0,2,2,0,2
MixedDeadlock/TestMixedDeadlock_MultiDep_LastOnly,2,0,2,2,0,2
MixedDeadlock/TestMixedDeadlock_No_MD_2_2B,0,0,0,0,0,0
MixedDeadlock/TestMixedDeadlock_No_MD_2_2B_RW_FP,0,0,0,0,0,0
MixedDeadlock/TestMixedDeadlock_No_MD_2_2CloseB,0,0,0,0,0,0
MixedDeadlock/TestMixedDeadlock_No_MD_2_2CloseU,0,0,0,0,0,0
MixedDeadlock/TestMixedDeadlock_No_MD_AfterPCS,0,0,0,0,0,0
MixedDeadlock/TestMixedDeadlock_No_MD_BeforeCS,0,0,0,0,0,0
MixedDeadlock/TestMixedDeadlock_No_MD_DifferentLocks,0,0,0,0,0,0
MixedDeadlock/TestMixedDeadlock_No_MD_ForkMustOrder,0,0,0,0,0,0
MixedDeadlock/TestMixedDeadlock_No_MD_Read,0,0,0,0,0,0
MixedDeadlock/TestRWMutex_DoubleRLockCounter_MD2_1B,1,0,1,1,0,1
MixedDeadlock/TestRWMutex_DoubleRUnlock_MD2_2U,1,0,1,1,0,1
Scenarios/TestA01_SendOnClosedChannel,2,1,2,2,1,2
Scenarios/TestA02_RecvOnClosedChannel,0,0,0,0,0,0
Scenarios/TestA03_CloseOnClosedChannel,2,1,2,2,1,2
Scenarios/TestA04_CloseOnNilChannel,1,1,1,1,1,1
Scenarios/TestA05_NegativeWaitGroup,1,1,1,1,1,1
Scenarios/TestA06_UnlockNotLockedMutex,1,1,1,1,1,1
Scenarios/TestA07_ActualLeak_UnbufferedRecvNoPartner,1,1,0,0,1,1
Scenarios/TestA08_ActualDeadlock_CyclicMutex,2,1,2,2,1,2
Scenarios/TestA09_ConcurrentReceivesSameChannel,1,1,1,1,1,1
Scenarios/TestL00_Leak_Generic,1,1,0,1,1,0
Scenarios/TestL01_LeakUnbuffered_WithPartner,1,1,1,1,1,1
Scenarios/TestL02_LeakUnbuffered_WithoutPartner,1,1,1,1,0,1
Scenarios/TestL03_LeakBuffered_WithPartner,0,0,0,0,0,0
Scenarios/TestL04_LeakBuffered_WithoutPartner,1,1,1,1,1,1
Scenarios/TestL05_LeakNilChannel,0,0,0,0,0,0
Scenarios/TestL06_LeakSelect_WithPartner,0,0,0,0,0,0
Scenarios/TestL07_LeakSelect_WithoutPartner,1,1,1,1,1,1
Scenarios/TestL08_LeakMutex,1,1,1,1,1,1
Scenarios/TestL09_LeakWaitGroup,0,1,1,1,0,1
Scenarios/TestL10_LeakCond,1,1,1,0,0,0
Scenarios/TestL11_LeakContext,0,1,0,0,1,0
Scenarios/TestP01_PossibleSendOnClosed,1,0,1,1,2,4
Scenarios/TestP02_PossibleRecvOnClosed,0,0,0,0,0,0
Scenarios/TestP03_PossibleNegativeWaitGroup,0,0,0,0,0,0
Scenarios/TestP04_PossibleUnlockNotLockedMutex,1,1,1,1,1,2
Scenarios/TestP05_PossibleCyclicDeadlock,1,0,1,1,0,1
SelectBlock/Test_Select_Buffered_SendBlocksOnFullBuffer_WithPartner,1,1,1,1,1,1
SelectBlock/Test_Select_Leak_OnContextDone,0,0,0,0,0,0
