Test,Flow,GFuzz,GFuzzHB,GFuzzHBFlow,GoCR,GoCRHB
Channel/Test_Buffered_Leak_SendBlocksOnFullBuffer,1.49459,1.41871,1.49501,1.4759,1.43846,1.45263
Channel/Test_Buffered_PossibleRecvOnClosed,3.1658,1.43378,3.07515,3.08652,15.17599,16.86457
Channel/Test_Unbuffered_Leak_SendWithoutPartner,1.46835,1.45993,1.46113,1.46842,1.46703,1.48107
Channel/Test_Unbuffered_PossibleSendOnClosed,1.40046,10.91077,10.98908,10.93012,13.60834,13.70063
Deadlock/Test_CyclicDeadlock_ABBA_TwoMutexes,4.38219,1.54793,4.36556,4.33592,13.16871,11.98949
Deadlock/Test_CyclicDeadlock_ChannelAndMutex,1.47182,1.43182,1.44564,2.26868,13.02162,16.92593
Deadlock/Test_CyclicDeadlock_RWMutex_WriterThenReader,2.98805,1.43602,2.96666,2.98999,16.96742,14.50517
Deadlock/Test_CyclicDeadlock_ThreeWayMutexCycle,4.34682,1.43336,4.27778,6.64697,11.30254,12.7986
MixedDeadlock/TestMixedDeadlock_DoubleCS_Recv,2.66261,1.74214,2.59154,2.6799,12.28033,14.36362
MixedDeadlock/TestMixedDeadlock_DoubleCS_Recv_2,21.59475,1.70307,18.60754,18.53314,12.81917,18.93443
MixedDeadlock/TestMixedDeadlock_DoubleCS_Send,2.85116,1.9474,2.78063,2.82944,13.09159,11.17157
MixedDeadlock/TestMixedDeadlock_DoubleCS_Send_2,2.44473,1.57228,2.48159,2.5051,15.81888,13.09959
MixedDeadlock/TestMixedDeadlock_DoubleCS_Send_Recv_1,18.35374,1.64849,18.48817,14.48071,11.57559,14.45527
MixedDeadlock/TestMixedDeadlock_DoubleCS_Send_Recv_2,2.31487,1.47129,2.3026,2.31562,24.84536,14.95307
MixedDeadlock/TestMixedDeadlock_GeneralCycle_3G_2Locks_2Chans,56.82861,11.10289,56.92052,53.32697,21.42915,55.14231
MixedDeadlock/TestMixedDeadlock_GeneralCycle_3G_2Locks_2Chans_WithSelectRecv,56.82258,11.04725,55.15079,56.77672,15.65534,56.76698
MixedDeadlock/TestMixedDeadlock_GeneralCycle_4G_2Locks_3Chans,35.43665,11.00048,35.19043,35.06501,15.87148,35.30573
MixedDeadlock/TestMixedDeadlock_MD2_1B,2.29039,1.54686,2.32648,2.31908,21.49152,11.39511
MixedDeadlock/TestMixedDeadlock_MD2_1_CloseB,2.29586,1.45163,2.24319,0.31757,11.39481,10.55723
MixedDeadlock/TestMixedDeadlock_MD2_1_CloseU,2.3361,1.54824,2.36315,2.30678,15.39511,13.5746
MixedDeadlock/TestMixedDeadlock_MD2_2U,2.31734,1.43736,2.26537,2.27951,21.53394,16.76782
MixedDeadlock/TestMixedDeadlock_MD2_3B,2.2712,1.49359,2.24232,2.23644,12.10474,14.19395
MixedDeadlock/TestMixedDeadlock_MD2_3U,2.37818,1.46411,2.35077,2.33656,11.3936,12.09026
MixedDeadlock/TestMixedDeadlock_MD_2_1B_RW,2.30492,1.53242,2.317,2.29633,12.39554,13.56144
MixedDeadlock/TestMixedDeadlock_MD_2_2U_RW,2.34718,1.46117,2.27153,2.29436,13.04408,22.30477
MixedDeadlock/TestMixedDeadlock_MD_2_3B_RW,2.34071,1.53629,2.2729,2.32165,12.38512,14.54535
MixedDeadlock/TestMixedDeadlock_MD_2_3CloseB,2.27513,1.45248,2.28984,2.25374,17.41557,13.89732
MixedDeadlock/TestMixedDeadlock_MD_2_3CloseU,2.30632,1.47728,2.3124,2.34025,12.19123,13.02871
MixedDeadlock/TestMixedDeadlock_MD_2_3U_RW,2.24691,1.47258,2.32386,2.27525,12.02387,22.30203
MixedDeadlock/TestMixedDeadlock_MultiDep_FirstOnly,3.03195,21.25017,3.01823,22.81394,12.07243,22.84639
MixedDeadlock/TestMixedDeadlock_MultiDep_LastOnly,3.07118,1.39643,2.95163,22.80879,16.03363,22.82671
MixedDeadlock/TestMixedDeadlock_No_MD_2_2B,1.60971,1.66208,1.63565,1.62628,13.46538,12.77737
MixedDeadlock/TestMixedDeadlock_No_MD_2_2B_RW_FP,1.52889,1.59079,1.55144,1.56328,12.27924,11.69119
MixedDeadlock/TestMixedDeadlock_No_MD_2_2CloseB,1.58364,1.56177,1.52635,1.51025,13.75201,11.46122
MixedDeadlock/TestMixedDeadlock_No_MD_2_2CloseU,1.55689,1.57316,1.53868,1.53635,10.37661,12.40377
MixedDeadlock/TestMixedDeadlock_No_MD_AfterPCS,1.68723,1.73947,1.68139,1.73545,18.19202,13.06125
MixedDeadlock/TestMixedDeadlock_No_MD_BeforeCS,1.48391,1.51877,1.54836,1.51827,11.63786,21.58546
